,m3340,m1150,m2236,m839,m851,m1901,m3485,m407,m2117,m3827,m3365,m364,m263,m1804,m2642,m2058,m185,m1426,m2875,m3267,m1570,m3418,m3157,m1270,m1070,m2876,m1394,m973,m1704,m2475,m3681,m1265,m96,m113,m3420,m2679,m1017,m3626,m33,m1916,m3410,m368,m3082,m2811,m3156,m565,m2541,m3689,m15,m3462,m3277,m1726,m3296,m457,m1058,m2581,m3138,m2418,m2602,m776,m2824,m1152,m2118,m1543,m807,m2871,m1225,m3187,m1831,m2211,m18,m3746,m2771,m1369,m2555,m2903,m3929,m3851,m3389,m1332,m2408,m3818,m2019,m202,m2605,m2848,m1731,m1905,m1460,m2740,m1839,m416,m2013,m1203,m1487,m1605,m2395,m2103,m1453,m1090
m3340,,0.2362087749686426,,0.3467258742247959,,,,0.631984641033231,0.5046738752206378,0.3643578697437325,0.4581137990033738,0.2427211490275441,,,0.6547330392691069,0.4530605556888151,0.6220635299754705,,0.0986441931237938,0.4433588933754183,0.6643780216785298,0.506366181581823,0.3632294048556619,0.3377654267594188,,,0.3641999007429508,0.2784806609415847,0.5623000500234219,0.6912204388205812,0.4166838164355048,0.2599926677547982,,,0.1257269453921951,,0.2723693231476023,,,0.5114087011474331,,0.4073750314627523,0.3134956856713109,,0.5396128743753862,0.6800583913459844,0.505037685771973,0.9450103871734304,0.8792717243947332,0.2952725873814905,,0.632911322048932,0.1543212328842637,0.3890661801632143,,0.6582164229909049,,0.6742861949730846,,,,0.5587277591085928,0.458626766986138,,,0.4415077495184512,0.3430793247758229,,0.4862957379842352,,0.4061399037295822,,,,0.636112851714191,0.7932974716279815,0.747926653225512,,,0.5814620648667582,0.6636708609878197,,0.3608126854385426,,0.2368933999849937,0.3462800760838237,,,0.81951258233789,,0.9770075929244202,0.3045434553030193,0.5196789983090174,0.3391696719129961,0.7563746087393289,,0.478288706118921,,0.9064972520358414,0.4090931726022866
m1150,0.2362087749686426,,0.3445365632795848,,0.629358133129289,,,0.210858159138811,0.3931140348348527,0.2272888380160194,0.5497088990025097,0.3866695540258693,0.399817648031936,0.3770712569634281,0.2735140086100573,0.4065722733158514,0.4018880306079777,,0.3428883710009902,0.4154074523823426,,0.5821174951402469,0.347327785789206,0.4898950956145162,,,0.6166558776345578,0.5946046317707849,0.4056027240182992,0.2869238556066111,0.3702364090069014,0.5861127123252811,0.6207676982755101,0.3847524396874704,0.5285183456872635,,0.3899375859269926,,,0.5202523909669408,,0.3049839132966175,0.2833154463487312,,0.476581009779128,0.6566709026180007,0.3096218835863351,0.1371068300632413,0.3681618120281054,0.525888031041831,,0.4268322322159833,0.6313022131985041,0.5671486119643196,,0.3002126623051008,0.1266268196842475,0.6247829997739629,,,,0.1911153759464167,0.4678282238549707,,1.0,0.5329573681361953,0.617640480308719,,0.2899316042092236,0.8305931704747493,0.3614574784185159,0.8442102741597497,0.3210068723750798,,0.0034426066448037,0.167211282735738,0.5856992495013212,0.5269089917447298,0.2164673343618632,0.4705602647270761,0.3498554965930236,,0.7294922020271447,0.1224666885200517,0.3239288320603365,0.6131167671100188,,,,,,0.718205912131273,0.3712911943858882,0.6323894601823173,0.4463117419218091,0.4518710356994185,0.5395106818266647,,0.1860675518439302,0.54220648228429
m2236,,0.3445365632795848,,0.3789329589037918,0.6795133252845018,,,0.2747071493181745,0.6822851802879653,0.4969578962883166,0.5442638572088033,0.5825254649215412,0.116281740388088,0.2934428162287971,0.4814207630100177,0.6351669862817757,0.4020356611321603,0.7909919409873327,0.4832554416184873,0.3943371038399448,,0.4863037047804064,0.4997579571206871,0.5633497899610873,,0.5016670680643218,0.4306440996786599,0.7116110250311021,0.5762532395652403,0.3142714982176289,0.4482594017405567,0.496176908131802,0.7054250779142722,0.6312902376093201,0.4964289124225836,,0.528578886733617,0.1989198768565569,,0.3778512286292109,,0.4519509083912353,0.566370872307437,,0.407170646107631,0.6459901492956375,0.4960079850120815,0.455871535606048,0.4014892876195228,0.4906166714023677,,0.6248709725108448,0.7423705650130472,0.5221456277011507,,0.6031113434855513,0.4446209726690815,0.5982276912649479,,,,,0.5862178563822861,,0.5726593185673078,0.6301360566936938,0.5188878129928746,,0.5527952092521851,0.9126873573398536,0.4518540983385563,0.5716633578500079,0.3730552912698102,,0.4851593902031931,0.583943228603616,0.6805789495443535,0.2569493611060476,0.0751244170563679,0.5380892989108622,0.3232798712497169,,0.6326863612196401,0.5493350943392261,0.5395102865044427,0.3381707568496348,0.3933048184442866,,0.4592886694938395,,0.3604627141307419,0.3481186444809526,0.5949427853632248,0.5536396605613475,0.4031203554611733,0.5707366520361368,0.4500513276622763,0.6098469420141706,0.3346341803806104,0.5097216961584878
m839,0.3467258742247959,,0.3789329589037918,,0.1844565298942233,,,0.6091271346617935,0.2867281103779026,0.5322798695753728,0.198610649278521,0.2763978186012549,,0.709978943623719,0.8568421238725861,0.2890922529815074,0.8256723851694172,,0.698622749284003,0.3917956838655783,0.4564853122494051,0.4316791073528011,0.63254319062228,0.2549416817251526,,0.8035807887287933,0.1829628062028749,0.4003895781134348,0.2272629396378376,0.6313405010287919,0.2207368487031675,0.228104640032558,,0.4309131219595556,0.5564974477672561,,0.4241009426937128,,,0.3774473373732769,,0.3675772201702721,0.607076296101584,,0.7310369896426381,0.3523215164267436,0.5758023018996882,0.8614607617923074,0.6745460609274776,0.3596340526540228,,0.788233454564237,0.5987608843702432,0.215441482810777,,0.498543560124936,0.7456678800063955,0.7408064928858713,,,,,0.352036541080993,,,0.3094252447455819,0.2529482848410184,,0.8224387181357784,,0.358062100332229,,0.8343469435443647,,0.9332618046537248,0.9039702721664952,0.3094131418153497,,0.8839605477074878,0.804303589860828,0.8048136872367269,,0.165722602069802,0.4606497589018893,0.6248779077583053,,0.8289202160778699,,0.9305124942368016,,0.7220341187018038,0.7520139947770184,0.6437561244636574,0.1842866655403893,0.788193040347628,0.5874141003397351,0.3144441260627696,0.837355823708821,0.7770863171835769,0.1626801485257935
m851,,0.629358133129289,0.6795133252845018,0.1844565298942233,,,,0.6498181510251653,0.4534630136788772,0.4047335219937643,0.5673644256764587,0.3648662005187382,0.5734773339978972,0.5637237225413142,0.4593752389960812,0.6443722261695869,0.5338725718183008,,0.3901296375943056,0.4343273966981381,0.6438162521426234,0.4777960951008788,0.5908944774841145,0.4175963349016626,,,0.5693789214275259,0.0815083989790128,0.5792831328639365,0.3431904466112402,0.2965502532520845,0.4401252543682681,,0.3633320369548681,0.5585010095415053,,0.3238883640009476,0.3268912987466245,,0.5970239871571635,,0.5463916978834833,0.6433284854994423,,0.4126295233780133,0.444625872190643,0.4762331689893181,0.7552485209531143,0.6180455510967889,0.4928036232828938,,0.6654705764703069,0.6183866524564356,0.4490009724606847,,0.5889395919065886,0.4833930147477281,0.3255305027304982,0.4139506738275176,,0.5405139500143596,,0.4502980849378594,,,0.4343359064426869,0.5366315116319302,,0.5081900788356607,,0.5363622477053652,0.4767190047505735,0.7621051201756297,0.7503581812936093,0.5832438747747565,0.5102293283920484,0.1542113757020883,0.3966903181814878,0.4044176937588665,0.7431075259905142,0.3421436523093432,,0.3207968954154918,0.7794043428145869,0.6659397056898708,0.0625766665353168,0.524360742323006,,0.1611978236750847,,0.3228498482777476,0.4282719726257871,0.5180128402670329,0.3484336864451016,0.4535752411116321,0.7403894299139606,0.5232823115033547,,0.5825881635867548,0.428924530102056
m1901,,,,,,,,,,,,,,,,,0.0195624849835035,,,,,1.0,,0.2371966698250736,,,0.8151092053397819,,,,,0.2320776325015411,,,,,,,,,,,0.0182270263674648,,,,,,,,,,,0.4449538481556191,,,,,,,,,,,,,0.6740553716790031,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7678931163680607,,,0.8556354875567499,,,
m3485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m407,0.631984641033231,0.210858159138811,0.2747071493181745,0.6091271346617935,0.6498181510251653,,,,0.3354821204182929,0.3805197974914848,0.4178335016621856,0.3836674513741686,,0.531095686154092,0.7203937887833124,0.5543564906325007,0.6088818735556837,,0.7004400372778443,0.4316295962615052,0.564664291979955,0.5439845394282358,0.342827838125458,0.40448944809608,,0.6429333481698336,0.3808649582285559,0.1981530797136022,0.3602692843418734,0.614747276399179,0.5441997986278575,0.420957259494593,,0.846340363063134,0.5028214365751927,,0.3689961942711181,,,0.4670060293808799,,0.468004586751705,0.5533452101256544,,0.566607782562262,0.6924620999979444,0.6596240984291484,0.6794728338141903,0.5901225419700868,0.3802436049207571,,0.5400213575270575,0.2039437733911759,0.3528922070815097,,0.5031889509320916,0.6360047017071977,0.5233814061732938,,,,0.5857572077135326,0.4293812967119105,,,0.3702633223391809,0.2401254960237823,,0.7003770565579743,0.3941865041893077,0.5807070106149714,0.1144287079483464,0.592824998476047,,0.6211022624811573,0.5449476083038675,0.5940286328902173,0.8198805606132813,0.2417872799714567,0.6222868511463361,0.6423544781681209,,0.2797470976124447,,0.6112335750901553,0.4881362165011286,0.4314498296733757,,0.821228207515839,0.6283566978332844,0.5459622376620422,0.7461318651031064,0.4828271344947105,0.3969241892182301,0.4967966776422262,0.5650241705754859,0.3215325563095155,0.5133534552960448,0.5291342638644317,0.2784608689208458
m2117,0.5046738752206378,0.3931140348348527,0.6822851802879653,0.2867281103779026,0.4534630136788772,,,0.3354821204182929,,0.4637626771640866,0.6400711312750846,0.5736058746215861,0.7104069987294384,0.4784049461504505,0.3984146917841736,0.599673021444399,0.4076098386769589,,0.5408669915123665,0.5983580200250462,0.6677682935335922,0.5210163443237645,0.4904534108932066,0.5050844231142763,,0.1122241494755595,0.5685403623249583,0.5745311938910452,0.566367874542802,0.4584402489769553,0.6612361436492946,0.501126417712798,0.3449748135649315,0.7151927290448704,0.6192551675022873,,0.4018533403425265,0.355709592747238,,0.6095928824609834,,0.5594534271400673,0.5404252204332178,,0.3756926409606982,0.2862597595657259,0.5630446051429268,0.2543205179560147,0.2449856232649842,0.4219055018505901,,0.3293973661032023,0.4564257159799721,0.5433916752501178,,0.5196677923657247,0.4110152969493761,0.4672651448367523,,,,0.2298987939694113,0.700810495287528,,,0.524242265106143,0.5596535190045255,,0.3384479929621115,0.8328815996698418,0.4725277816345966,0.46187832166127,0.3048626802375793,,0.4286998705157612,0.233439490214226,0.6082062523657248,0.6193933820889783,0.1750725751869251,0.3244002398763573,0.4541265821668055,,0.6694827309047912,0.3148011127951018,0.5158788067229587,0.6880046001975529,0.2476885209016536,,0.4719198071452031,,0.1614187035709303,0.4487187390448858,0.5933251243459841,0.6665320182727567,0.3899329000779516,0.4410566507557408,0.6059306817150829,0.7793451213639413,0.2861940766059186,0.6904812920662557
m3827,0.3643578697437325,0.2272888380160194,0.4969578962883166,0.5322798695753728,0.4047335219937643,,,0.3805197974914848,0.4637626771640866,,0.4555863500010637,0.4543607317786503,0.1031202869950648,0.6732618819551025,0.5719227453702261,0.5655642864761913,0.5449822297478736,0.5157489670068373,0.4654657354554207,0.5003124746181365,0.378217089816785,0.4431447311601961,0.6558599941680091,0.4749932175933901,,0.5738845690454342,0.379704777958527,0.2218511024519273,0.4231771240528034,0.4597545952675138,0.4961666864152443,0.4107982480948941,0.8927074517227731,0.4433189712855014,0.6355423920540352,,0.551171049870582,0.3437219051817943,0.1552809953026908,0.437642970524162,0.9391727057549086,0.6414224723135753,0.6026851884828066,,0.5433686240053117,0.3891872376765594,0.5315196661192308,0.5477432961317417,0.5578450024967635,0.3324151228982724,,0.3790146616014455,0.4585827980647964,0.5264281825999899,0.1037675213163759,0.6735403660967898,0.8328257097511566,0.5520422441285725,,,,0.5544898893511698,0.3255811638216951,,0.1237621912716238,0.3896551411130407,0.4036240495976935,,0.4782970795463791,0.6408921662127189,0.4755090769271248,0.3157745986355167,0.6472818041637091,,0.5786070123118945,0.4456262522100572,0.5152760811832582,0.4627377245633093,0.5733966248373547,0.3858834698521842,0.572936737783539,0.0475594458388823,0.4387285952243082,0.6979578441306495,0.6374955530901381,0.0922839525091809,0.5340193274980133,,0.5959665001859571,,0.4488268931856209,0.6186390115019076,0.6017191086921045,0.4727834711916753,0.4304136616146394,0.5475856918315015,0.4438591919348025,0.6606809488171159,0.4801177887336234,0.4690259061356271
